id,name,alias,iata,icao,callsign,country,active
405,AirQuarius Aviation,\N,,AQU,QUARIUS,South Africa,N
406,Aerodyne Charter Company,\N,,AQZ,QUANZA,United States,N
407,Arik Air,\N,W3,ARA,ARIK AIR,Nigeria,N
408,Avia Air N.V.,\N,,ARB,AVIAIR,Aruba,N
409,Air Routing International Corp.,\N,,ARC, ,United States,N
410,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y
411,Aires,\N,4C,ARE, Aerovias de Integracion Regional, S.A.,Y
412,Aerolineas Argentinas,\N,AR,ARG,ARGENTINA,Argentina,Y
413,Arrowhead Airways,\N,,ARH,ARROWHEAD,United States,N
414,Aero Vics,\N,,ARI,AEROVICS,Mexico,N
415,Aerojet de Costa Rica,\N,,ARJ, S.A.,,N
416,Antillana De Navegacion Aerea,\N,,SUN,,Dominican Republic,N
417,Aeroservicios De San Luis,\N,,SUO,SERVICIO SANLUIS,Mexico,N
418,Aerosuper,\N,,SUP,AEROSUPER,Mexico,N
419,Aero Link Air Services S.L.,\N,,ARK,LINK SERVICE,Spain,N
420,Airlec - Air Aquitaine Transport,\N,,ARL,AIRLEC,France,N
421,Aeromarket Express,\N,,ARM,AMEX,Spain,N
422,Arrow Aviation Ltd.,\N,,ARO,ARROW,Canada,N
423,RPA-Aviataxi Ltd.,\N,,ARP,,Russia,N
424,Air Klaipeda,\N,,KLD,AIR KLAIPEDA,Lithuania,N
425,Armstrong Air,\N,,ARQ, Inc.,ARMSTRONG,N
426,Air Armenia,\N,QN,ARR,AIR ARMENIA,Armenia,N
427,Aeromet Servicios,\N,,ARS,METSERVICE,Chile,N
428,Aerotal Aerolineas Territoriales de Colombia Ltda,\N,,ART,AEROTAL,Colombia,N
429,Aravco Ltd.,\N,,ARV,ARAVCO,United Kingdom,N
430,Aria,\N,,ARW,ARIABIRD,France,N
431,Air Xpress,\N,,ARX, Inc.,AIREX,N
432,Airline Alania,\N,,OST,ALANIA,Russia,N
433,Air Tchad,\N,,HTT,HOTEL TANGO,Chad,N
434,Aerloineas de Techuacan,\N,,HUC,LINEAS TEHUACAN,Mexico,N
435,Aerotransportes Huitzilin,\N,,HUT,AEROHUITZILIN,Mexico,N
436,Aero Transportes Del Humaya,\N,,HUY,AERO HUMAYA,Mexico,N
437,Argosy Airways,\N,,ARY,GOSEY,United States,N
438,Air Resorts,\N,,ARZ,AIR RESORTS,United States,N
439,Alaska Airlines,\N,AS,ASA, Inc.,ALASKA,Y
440,Air-Spray 1967 Ltd.,\N,,ASB,AIR SPRAY,Canada,N
441,Air Star Corporation,\N,,ASC,AIR STAR,Canada,N
442,Air Sinai,\N,4D,ASD,AIR SINAI,Egypt,Y
443,Airstars,\N,PL,ASE,MOROZOV,Russia,N
444,Air Schefferville,\N,,ASF, Inc.,SCHEFF,N
445,African Star Airways (PTY) Ltd.,\N,,ASG,AFRICAN STAR,South Africa,N
446,Aerosun International,\N,,ASI, Inc.,AEROSUN,N
447,Air Satellite,\N,,ASJ,SATELLITE,Canada,N
448,Awesome Flight Services (PTY) Ltd.,\N,,ASM,AWESOME,South Africa,N
449,Air and Sea Transport,\N,,ASN, ,Russia,N
450,Aero Slovakia,\N,,ASO,AERO NITRA,Slovakia,N
451,Airsprint,\N,,ASP,AIRSPRINT,Canada,N
452,Atlantic Southeast Airlines,\N,EV,ASQ,ACEY,United States,Y
453,All Star Airlines,\N,,ASR, Inc.,ALL STAR,N
454,Air Class,\N,,ASS, S.A. de C.V.,AIR CLASS,N
455,Aerlineas Del Oeste,\N,,AST,AEROESTE,Mexico,N
456,Aviones Are,\N,,NRE,AVIONES ARE,Mexico,N
457,Air Nepal International,\N,,NPL,AIR NEPAL,Nepal,N
458,Air Napier,\N,,NPR,,New Zealand,N
459,Air Taxi & Cargo,\N,,WAM,TAXI CARGO,Sudan,N
460,Arrow Panama,\N,,WAP,ARROW PANAMA,Panama,N
461,Astravia-Bissau Air Transports Ltd.,\N,,ASV,ASTRAVIA,Guinea-Bissau,N
462,Astrakhan Airlines,\N,OB,ASZ,AIR ASTRAKHAN,Russia,Y
463,Air Transport Association,\N,,ATA,,United States,N
464,Atlantair Ltd.,\N,,ATB,STARLITE,Canada,N
465,Air Tanzania,\N,TC,ATC,TANZANIA,Tanzania,Y
466,Aerotours Dominicana,\N,,ATD,AEROTOURS,Dominican Republic,N
467,Atlantis Transportation Services,\N,,ATE, Ltd.,ATLANTIS CANADA,N
468,Aerotrans Airline,\N,,ATG,BACHYT,Kazakhstan,N
469,Air Charter World,\N,,XAC,,United States,N
470,Air Burkina,\N,2J,VBW,BURKINA,Burkina Faso,Y
471,Air Travel Corp.,\N,,ATH,AIR TRAVEL,United States,N
472,Aero-Tropics Air Services,\N,HC,ATI,,Australia,N
473,Air Traffic GmbH,\N,,ATJ,SNOOPY,Germany,N
474,AeroTACA,\N,,ATK,AEROTACA,Colombia,N
475,Aerocentral,\N,,ATL,CENTRALMEX,Mexico,N
476,Airlines Of Tasmania,\N,FO,ATM,AIRTAS,Australia,Y
477,Air Saint Pierre,\N,PJ,SPM,,France,Y
478,Air Transport International,\N,8C,ATN,AIR TRANSPORT,United States,N
479,ASTRAL Colombia - Aerotransportes Especiales Ltda.,\N,,ATP,ASTRAL,Colombia,N
480,Air Transport Schiphol,\N,,ATQ,MULTI,Netherlands,N
481,Aeroferinco,\N,,FEO,FERINCO,Mexico,N
482,Aero Taxis Y Servicios Alfe,\N,,FES,AERO ALFE,Mexico,N
483,Avialesookhrana,\N,,FFA,AVIALESOOKHRANA,Russia,N
484,Africair Service,\N,,FFB,FOXTROT FOXTROT,Senegal,N
485,Atlas Airlines,\N,,ATR,ATLAS-AIR,United States,N
486,Air Transport Service,\N,,ATS,,Democratic Republic of the Congo,N
487,Aer Turas,\N,,ATT,AERTURAS,Ireland,N
488,Atlant Aerobatics Ltd.,\N,,ATU,ATLANT HUNGARY,Hungary,N
489,Avanti Air,\N,,ATV,AVANTI AIR,Germany,N
490,Aero Trades (Western) Ltd.,\N,,ATW,AERO TRADES,Canada,N
491,Austrian Airlines,\N,OS,AUA,AUSTRIAN,Austria,Y
492,Air Southwest,\N,,WOW,SWALLOW,United Kingdom,Y
493,Augsburg Airways,\N,IQ,AUB,AUGSBURG-AIR,Germany,Y
494,Air Corporate,\N,,CPV,AIRCORPORATE,Italy,N
495,Aviastar-Tu,\N,,TUP,TUPOLEVAIR,Russia,N
496,AirBridge Cargo,\N,RU,ABW,AIRBRIDGE CARGO,Russia,N
497,ATUR,\N,,TUR,,Ecuador,Y
498,ATESA Aerotaxis Ecuatorianos,\N,,TXU,ATESA,Ecuador,N
499,Austin Express,\N,,TXX,COWBOY,United States,N
500,Audi Air,\N,,AUD, Inc.,AUDI AIR,N
501,Augusta Air Luftfahrtunternehmen,\N,,AUF,AUGUSTA,Germany,N
502,Abu Dhabi Amiri Flight,\N,MO,AUH,SULTAN,United Arab Emirates,Y
503,Aeroflot-Nord,\N,5N,AUL,DVINA,Russia,Y
504,Air Atlantic Uruguay,\N,,AUM,ATLAMUR,Uruguay,N
505,Aviones Unidos,\N,,AUN,AVIONES UNIDOS,Mexico,N
506,Avia Business Group,\N,,AUP,,Russia,N
507,Aero Servicios Expecializados,\N,,SVE,AEROESPECIAL,Mexico,N
508,Aurigny Air Services,\N,GR,AUR,AYLINE,United Kingdom,Y
509,Aus-Air,\N,NO,AUS,,Australia,N
510,Austral Lineas Aereas,\N,AU,AUT,AUSTRAL,Argentina,Y
511,Aurora Aviation,\N,,AUU, Inc.,AURORA AIR,N
512,Air Uganda International Ltd.,\N,,AUX,,Uganda,N
513,Aerolineas Uruguayas,\N,,AUY, S.A.,AUSA,N
514,Australian Airlines,\N,AO,AUZ,AUSTRALIAN,Australia,N
515,Avianca - Aerovias Nacionales de Colombia,\N,AV,AVA, S.A.,AVIANCA,Y
516,Aviation Beaufort,\N,,AVB,BEAUPAIR,United Kingdom,N
517,Alamo Aviacion,\N,,AVD, S.L.,ALAMO,N
518,Aviair Aviation Ltd.,\N,,AVF,CARIBOO,Canada,N
519,Air Falcon,\N,,AVG,DJIBOUTI FALCON,Djibouti,N
520,AV8 Helicopters,\N,,AVH,KENT HELI,United Kingdom,N
521,Avia Traffic Company,\N,,AVJ,ATOMIC,Kyrgyzstan,N
522,AV8 Helicopters,\N,,AVK,AVIATE-COPTER,South Africa,N
523,Aviacion Ejecutiva Mexicana,\N,,AVM, S.A.,AVEMEX,N
524,Air Vanuatu,\N,NF,AVN,AIR VAN,Vanuatu,Y
525,Aviation at Work,\N,,AVO,AVIATION WORK,South Africa,N
526,Avcorp Registrations,\N,,AVP,AVCORP,United Kingdom,N
527,Alfa Aerospace,\N,,LFP,ALFA-SPACE,Australia,N
528,Atlantic Airfreight Aviation,\N,,LFR,LANFREIGHT,Sao Tome and Principe,N
529,Aerolift Company,\N,,LFT,LIFTCO,Sierra Leone,N
530,Aviation Services,\N,,AVQ, Inc.,AQUILINE,N
531,Active Aero Charter,\N,,AVR, Inc.,ACTIVE AERO,N
532,Avialsa T-35,\N,,AVS,AVIALSA,Spain,N
533,Asia Avia Airlines,\N,,AVT,ASIAVIA,Indonesia,N
534,Avia Sud A,\N,,AVU,AVIASUD,France,N
535,Airvantage Incorporated,\N,,AVV,AIRVANTAGE,United States,N
536,Aviator Airways,\N,,AVW,AVIATOR,Greece,N
537,Aviapaslauga,\N,,AVX,PASLAUGA,Lithuania,N
538,ASL,\N,,XXX,,Belgium,N
539,Air Yugoslavia,\N,,YRG,YUGAIR,Serbia,N
540,Airlink Zambia,\N,K8,ZAK,,Zambia,N
541,Agence Nationale des Aerodromes et de la Meteorologie,\N,,ZZM,,Ivory Coast,N
542,Airbus Transport International,\N,,BGA,BELOUGA,France,N
543,Air Bangladesh,\N,B9,BGD,AIR BANGLA,Bangladesh,Y
544,Aviodetachment-28,\N,,BGF,BULGARIAN,Bulgaria,N
545,Aero BG,\N,,BGG,AERO BG,Mexico,N
546,Aerotaxis De La Bahia,\N,,BHC,BAHIA,Mexico,N
547,Air Mediterranee,\N,DR,BIE,MEDITERRANEE,France,Y
548,Aviaservice,\N,,BIV,AVIASERVICE,Georgia,N
549,Aerolineas De El Salvador,\N,,SZA,AESA,El Salvador,N
550,Swaziland Airlink,\N,,SZL,SWAZILINK,Swaziland,N
551,Air Moorea,\N,,TAH,AIR MOOREA,France,Y
552,Aerovaradero,\N,,AVY, S.A.,AEROVARADERO,N
553,Air Valencia,\N,,AVZ,AIR VALENCIA,Spain,N
554,Airways International,\N,,AWB, Inc.,AIRNAT,N
555,Airwork,\N,,AWK,AIRWORK,New Zealand,N
556,Australian Wetleasing,\N,,AWL,AUSSIEWORLD,Australia,N
557,Air Niamey,\N,,AWN,AIR NIAMEY,Niger,N
558,Awood Air Ltd.,\N,,AWO,AWOOD AIR,Canada,N
559,Arctic Wings And Rotors Ltd.,\N,,AWR,ARCTIC WINGS,Canada,N
560,Auo Airclub AIST-M,\N,,ISM,STORK,Russia,N
561,Arab Wings,\N,,AWS,ARAB WINGS,Jordan,N
562,Air West,\N,,AWT,AIR WEST,Canada,N
563,Aeroline GmbH,\N,7E,AWU,SYLT-AIR,Germany,Y
564,Airwave Transport,\N,,AWV, Inc.,AIRWAVE,N
565,Air Wales,\N,6G,AWW,RED DRAGON,United Kingdom,Y
566,Aeroway,\N,,AWY, S.L.,AEROWEE,N
567,Air Caraïbes,\N,TX,FWI,FRENCH WEST,France,Y
568,AirWest,\N,,AWZ, ,Sudan,N
569,Air India Express,\N,IX,AXB,EXPRESS INDIA,India,Y
570,Air Express,\N,,AXD,AIR SUDEX,Sudan,N
571,Asian Express Airlines,\N,HJ,AXF,FREIGHTEXPRESS,Australia,N
572,Aeromexhaga,\N,,AXH,AEROMEXHAGA,Mexico,N
573,Aeron International Airlines,\N,,AXI, Inc.,AIR FREIGHTER,N
574,African Express Airways,\N,,AXK,EXPRESS JET,Kenya,N
575,Air Exel,\N,XT,AXL,EXEL COMMUTER,Netherlands,Y
576,AirAsia,Air Asia,AK,AXM,ASIAN EXPRESS,Malaysia,Y
577,Alexandair,\N,,AXN,ALEXANDROS,Greece,N
578,Aeromax,\N,,AXP,AEROMAX SPAIN,Spain,N
579,Action Airlines (Action Air Charter),\N,,AXQ,ACTION AIR,United States,N
580,Alberni Airways,\N,,BNI,ALBERNI,Canada,N
581,Aerolineas Bonanza,\N,,BNZ,AERO BONANZA,Mexico,N
582,Aerobona,\N,,BOC,AEROBONA,Mexico,N
583,Aboitiz Air,\N,,BOI,ABAIR,Philippines,N
584,Axel Rent,\N,,AXR, S.A.,RENTAXEL,N
585,Altus Airlines,\N,,AXS,ALTUS,United States,N
586,Aviaxess,\N,,AXV,AXAVIA,France,N
587,Avioimpex A.D.p.o.,\N,,AXX,IMPEX,Macedonia,N
588,Axis Airways,\N,6V,AXY,AXIS,France,N
589,Aladia Airlines,\N,,AYD,AIRLINES ALADIA,Mexico,N
590,Aykavia Aircompany,\N,,AYK,,Armenia,N
591,Airman,\N,,AYM, S.L.,AIRMAN,N
592,Atlantic Airlines,\N,,AYN, S.A.,ATLANTIC NICARAGUA,N
593,Awsaj Aviation Services,\N,,AYS,,Libya,N
594,Ayeet Aviation & Tourism,\N,,AYT,AYEET,Israel,N
595,Atlant-Soyuz Airlines,\N,3G,AYZ,ATLANT-SOYUZ,Russia,Y
596,Alitalia,\N,AZ,AZA,ALITALIA,Italy,Y
597,Azamat,\N,,AZB,TUMARA,Kazakhstan,N
598,Arcus-Air Logistic,\N,ZE,AZE,ARCUS AIR,Germany,N
599,Air Zermatt AG,\N,,AZF,AIR ZERMATT,Switzerland,N
600,Azalhelikopter,\N,,AZK,AZALHELICOPTER,Azerbaijan,N
601,Africa One,\N,,AZL,SKY AFRICA,Zambia,N
602,Aerocozumel,\N,,AZM,AEROCOZUMEL,Mexico,N
603,Amaszonas,\N,Z8,AZN,,Bolivia,Y
604,Arizona Pacific Airways,\N,,AZP,ARIZONA PACIFIC,United States,N
605,Aviacon Zitotrans Air Company,\N,,AZS,ZITOTRANS,Russia,N
606,Azimut,\N,,AZT, S.A.,AZIMUT,N
607,Azov Avia Airlines,\N,,AZV,AZOV AVIA,Ukraine,N
608,Air Zimbabwe,\N,UM,AZW,AIR ZIMBABWE,Zimbabwe,Y
609,Aero Jomacha,\N,,MHC,AERO JOMACHA,Mexico,N
610,Air Memphis,\N,,MHS,AIR MEMPHIS,Egypt,N
611,Air Memphis,\N,,MHU,MEPHIS UGANDA,Uganda,N
612,Air Marrakech Service,\N,,MKH,AIR MARRAKECH,Morocco,N
613,Air Max Africa,\N,,AZX,AZIMA,Gabon,N
614,Arizona Airways,\N,,AZY, Inc.,ARIZAIR,N
615,Azza Transport,\N,,AZZ,AZZA TRANSPORT,Sudan,N
616,Air Continental Inc,\N,,NAR,NIGHT AIR,United States,N
617,Antanik-Air,\N,,NAU,ANTANIK,Ukraine,N
618,Air Newark,\N,,NER,NEWAIR,United States,N
619,Aircraft Support and Services,\N,,NFF,,Lebanon,N
620,Aerobanana,\N,,OBA,AEROBANANA,Mexico,N
621,Amako Airlines,\N,,OBK,AMAKO AIR,Nigeria,N
622,Aserca Airlines,\N,R7,OCA,AROSCA,Venezuela,Y
623,Afrique CArgo Service Senegal,\N,,NFS,,Senegal,N
624,Angoservice,\N,,NGC,ANGOSERVICE,Angola,N
625,Angel Airlines,\N,,NGE,ANGEL AIR,Thailand,N
626,Angel Flight America,\N,,NGF,ANGEL FLIGHT,United States,N
627,Air Atonabee,\N,,OUL,CITY EXPRESS,Canada,N
628,Aero Nova,\N,,OVA,AERONOVA,Spain,N
629,Amira Air,\N,,XPE,EXPERT,Austria,N
630,Aero Express Intercontinental,\N,,XSS,INTER EXPRESS,Mexico,N
631,Advance Aviation Services,\N,,XTJ,,United States,N
632,Air Libya Tibesti,\N,,TLR,AIR LIBYA,Libya,N
633,Aerovic,\N,,OVC,,Ecuador,N
634,Airventure,\N,,RVE,AIRVENTURE,Belgium,N
635,Aero Servicios,\N,,RVI,AERO SERVICIOS,Mexico,N
636,Airvallee,\N,,RVL,AIR VALLEE,Italy,N
637,Aeromover,\N,,OVE,AEROMOVER,Mexico,N
638,Aerovias Ejecutivas,\N,,OVI,VIAS EJECUTIVAS,Mexico,N
639,Aero Servicio Pity,\N,,PTD,PITY,Mexico,N
640,Aero Copter,\N,,PTE,,Mexico,N
641,Rossiya-Russian Airlines,Pulkovo Aviation Enterprise,FV,SDM,PULKOVO,Russia,Y
642,Air Pal,\N,,PLL,AIRPAL,Spain,N
643,Air Pullmantur,\N,,PLM,PULLMANTUR,Spain,N
644,Aviaexpress,\N,RX,AEH,Avex,Hungary,N
645,Aviones Para Servirle,\N,,PSG,SERVIAVIONES,Mexico,N
646,Avio Sluzba,\N,,SLU,AVIO SLUZBA,Serbia,N
647,Air Scorpio,\N,,SCU,SCORPIO UNIVERS,Bulgaria,N
648,Air Spirit,\N,,SIP,AIR SPIRIT,United States,N
649,Alatau Airlines,\N,,BMV,OLIGA,Kazakhstan,N
650,Aviateca,\N,,GUG,AVIATECA,Guatemala,N
651,Aroostook Aviation,\N,,PXX,PINE STATE,United States,N
652,Aeropycsa,\N,,PYC,AEROPYCSA,Mexico,N
653,Association of Private Pilots of Kazakhstan,\N,,PVK,BORIS,Kazakhstan,N
654,The Amiri Flight,\N,,BAH,BAHRAIN,Bahrain,N
655,Aero Services,\N,,BAS,AEROSERV,Barbados,N
656,Ababeel Aviation,\N,,BBE,BABEL AIR,Sudan,N
657,Air Bashkortostan,\N,,BBT,AGYDAL,Russia,N
658,Ambulance Air Africa,\N,,MCY,MERCY,South Africa,N
659,American Eagle Airlines,\N,MQ,EGF,EAGLE FLIGHT,United States,Y
660,Aeropuelche,\N,,PUE,PUELCHE,Chile,N
661,Aeroput,\N,,PUT,,Serbia,N
662,Azzurra Air,\N,,AZI,AZZURRA,Italy,N
663,Airshop,\N,FF,,,Netherlands,N
664,African Transport Trading and Investment Company,\N,ML,,,Sudan,N
665,AD Aviation,\N,,VUE,FLIGHTVUE,United Kingdom,Y
666,Aero Costa Taxi Aereo,\N,,XCT,AEROCOSTAXI,Mexico,N
667,Aerovitro,\N,,VRO,AEROVITRO,Mexico,N
668,Aerotaxi Villa Rica,\N,,VRI,VILLARICA,Mexico,N
669,Aerovega,\N,,VEG,AEROVEGA,Mexico,N
670,Aerovilla,\N,,VVG,AEROVILLA,Colombia,N
671,Aerolineas Villaverde,\N,,VLR,VILLAVERDE,Mexico,N
672,Aero Air,\N,,WIL,WILLIAMETTE,United States,N
673,Aero Ejecutivos,\N,,VEJ,VENEJECUTIV,Venezuela,N
674,Aero Industries Inc,\N,,WAB,WABASH,United States,N
675,Aero Servicios Vanguardia,\N,,VNG,VANGUARDIA,Mexico,N
676,Aero Taxi Los Valles,\N,,VAD,VALLES,Spain,N
677,Aero Vilamoura,\N,,VMR,AERO VILAMOURA,Portugal,N
678,Aero Virel,\N,,VLS,VIREL,Mexico,N
679,Aeronautical Radio Inc,\N,,XAA,,United States,N
680,Aerovuelox,\N,,VUO,AEROVUELOX,Mexico,N
681,Aeronaves TSM,\N,,VTM,AERONAVES TSM,Mexico,N
682,Air Ivoire,\N,VU,VUN,AIRIVOIRE,Ivory Coast,Y
683,Air Botswana,\N,BP,BOT,BOTSWANA,Botswana,Y
684,Air-Rep,\N,,XPR,,United States,N
685,Air Excel,\N,,XLL,TINGA-TINGA,Tanzania,N
686,Air Evans,\N,,VAE,AIR-EVANS,Spain,N
687,Air Sorel,\N,,WHY,AIR SOREL,Canada,N
688,Air Net Private Charter,\N,,WDR,WIND RIDER,United States,N
689,Air Executive Charter,\N,,XEC,,Germany,N
690,Air Foyle,\N,GS,UPA,FOYLE,United Kingdom,Y
691,Air Midwest,\N,,VTY,VICTORY,Nigeria,N
692,Air Tahiti,\N,VT,VTA,AIR TAHITI,French Polynesia,Y
693,Air Urga,\N,3N,URG,URGA,Ukraine,N
694,Air Vardar,\N,,VDR,VARDAR,Macedonia,N
695,Air VIA,\N,VL,VIM,,Bulgaria,Y
696,Air Walser,\N,,WLR,AIRWALSER,Italy,N
697,Aircompany Rosavia,\N,,URA,ROSAVIA,Ukraine,N
698,Aircraft Performance Group,\N,,XLB,,United States,N
699,Airwaves Airlink,\N,,WLA,AIRLIMITED,Zambia,N
700,Airways Corporation of New Zealand,\N,,XFX,AIRCORP,New Zealand,N
701,Airways,\N,,WAY,GARONNE,France,N
702,Airwings oy,\N,,WGS,AIRWINGS,Finland,N
703,Airkenya,\N,,XAK,SUNEXPRESS,Kenya,N
704,Air-Lift Associates,\N,,WPK,WOLFPACK,United States,N
705,Airtrans Ltd,\N,,VAB,,Russia,N
706,ARP 410 Airlines,\N,,URP,AIR-ARP,Ukraine,N
707,Auckland Regional Rescue Helicopter Trust,\N,,WPR,WESTPAC RESCUE,New Zealand,N
708,Aurora Airlines,\N,,URR,AIR AURORA,Slovenia,N
709,Austro Aereo,\N,,UST,AUSTRO AEREO,Ecuador,N
710,Aviation Partners,\N,,WLT,WINGLET,United States,N
711,Avialift Vladivostok,\N,,VLV,VLADLIFT,Russia,N
712,Aviacion Comercial de America,\N,,VME,AVIAMERICA,Mexico,N
713,Aviast Air,\N,,VVA,IALSI,Russia,N
714,Aviation North,\N,,WLV,WOLVERINE,United States,N
715,Africa West,\N,FK,WTA,WEST TOGO,Togo,Y
716,Avient Air Zambia,\N,,VNT,AVIENT,Zambia,N
717,Aviazur,\N,,VZR,IAZUR,France,N
718,Aviaprad,\N,,VID,AVIAPRAD,Russia,N
719,Avirex,\N,G2,VXG,AVIREX-GABON,Gabon,N
720,Aviaexpress Aircompany,\N,,VXX,EXPRESSAVIA,Ukraine,N
721,AMR Services Corporation,\N,,XAM,ALLIANCE,United States,N
722,Airline Operations Services,\N,,XAO,,United States,N
723,Airlines 400,\N,,VAZ,REMONT AIR,Russia,N
724,ATRAN Cargo Airlines,\N,V8,VAS,ATRAN,Russian Federation,Y
725,Ameravia,\N,,VAM,AMERAVIA,Uruguay,N
726,Angkor Air,\N,,VAV,AIR ANGKOR,Cambodia,N
727,AVB-2004 Ltd,\N,,VBC,AIR VICTOR,Bulgaria,N
728,ASECNA,\N,,XKX,,France,N
729,AT and T Aviation Division,\N,,XAT,,United States,N
730,Avalair,\N,,VAI,AIR AVALAIR,Serbia,N
731,Averitt Air Charter,\N,,VRT,AVERITT,United States,N
732,Avensa,\N,VE,AVE,Avensa,Venezuela,N
733,Avolar Aerolineas,\N,V5,VLI,AEROVOLAR,Mexico,N
734,Avstar Aviation,\N,,VSA,STARBIRD,South Africa,N
735,AVESCA,\N,,VSC,AVESCA,Colombia,N
736,Aviaprom Enterprises,\N,,XAV,AVIAPROM,Russia,N
737,Avia Trans Air Transport,\N,,VTT,VIATRANSPORT,Sudan,N
738,Aviostart AS,\N,,VSR,AVIOSTART,Bulgaria,N
739,Aviacao Transportes Aereos e Cargas,\N,,VTG,ATACARGO,Angola,N
740,Assistance Aeroportuaire de L'Aeroport de Paris,\N,,XJA,,France,N
741,American Flight Service Systems,\N,,XFS,,United States,N
742,AASANA,\N,,XXV,,Bolivia,N
743,Australian air Express,\N,,XME,AUS-CARGO,Australia,N
744,AMS Group,\N,,XMG,,Russia,N
745,Air Caraibes Atlantique,\N,,CAJ,CAR LINE,France,N
746,Air China Cargo,\N,,CAO,AIRCHINA FREIGHT,China,N
747,Aerovias Caribe,\N,,CBE,AEROCARIBE,Mexico,N
748,Aerotaxi del Cabo,\N,,CBO,TAXI CABO,Mexico,N
749,Air Columbus,\N,,CBS,AIR COLUMBUS,Ukraine,N
750,Aero Cabo,\N,,CBV,CABOAEREO,Mexico,N
751,Air China,\N,CA,CCA,AIR CHINA,China,Y
752,Aerocardal,\N,,CDA,CARDAL,Chile,N
753,Aero Condor Peru,\N,Q6,CDP,CONDOR-PERU,Peru,Y
754,Aerotrans,\N,,CDU,,Russia,N
755,Airline Skol,\N,,CDV,SKOL,Russia,N
756,Aerofan,\N,,CFF,AEROFAN,Spain,N
757,ACEF,\N,,CFM,ACEF,Portugal,N
758,Africa One,\N,,CFR,,Democratic Republic of the Congo,N
759,Aero Calafia,\N,,CFV,CALAFIA,Mexico,N
760,Air Cargo Belize,\N,,CGB,CARGO BELIZE,Belize,N
761,Aero Clube Do Algarve,\N,,CGV,CLUBE ALGARVE,Portugal,N
762,Air Great Wall,\N,,CGW,CHANGCHENG,China,N
763,Aircompany Chaika,\N,,CHJ,AIR CHAIKA,Ukraine,N
764,Air Charter Services,\N,,CHR,ZAIRE CHARTER,Democratic Republic of the Congo,N
765,Air Charter Professionals,\N,,CHV,CHARTAIR,United States,N
766,Asia Continental Airlines,\N,,CID,ACID,Kazakhstan,N
767,Arctic Circle Air Service,\N,5F,CIR,AIR ARCTIC,United States,N
768,Aviation Charter Services,\N,,CKL,CIRCLE CITY,United States,N
769,Aerovias Castillo,\N,,CLL,AEROCASTILLO,Mexico,N
770,Aero Club De Portugal,\N,,CLP,CLUB PORTUGAL,Portugal,N
771,Air Care Alliance,\N,,CMF,COMPASSION,United States,N
772,Aero Continente Dominicana,\N,,CND,CONDOMINICANA,Dominican Republic,N
773,Air Toronto,\N,,CNE,CONNECTOR,Canada,N
774,Aquila Air,\N,,CNH,CHENANGO,United States,N
775,Air Consul,\N,,CNU,AIR CONSUL,Spain,N
776,Allcanada Express,\N,,CNX,CANEX,Canada,N
777,ATS Private Company,\N,,CPF,TECHSERVICE,Ukraine,N
778,Air Corridor,\N,QC,CRD,AIR CORRIDOR,Mozambique,N
779,Air Central,\N,NV,CRF,AIR CENTRAL,Japan,N
780,Air Cruzal,\N,,CRJ,AIR CRUZAL,Angola,N
781,Aerotransportes Corporativos,\N,,CRP,AEROTRANSCORP,Mexico,N
782,Air Creebec,\N,,CRQ,CREE,Canada,N
783,Aero Charter and Transport,\N,,CTA,CHAR-TRAN,United States,N
784,Air Tenglong,\N,,CTE,TENGLONG,China,N
785,Aerlineas Centauro,\N,,CTR,CENTAURO,Mexico,N
786,Aerocuahonte,\N,,CUO,CUAHONTE,Mexico,N
787,Air Chathams,\N,CV,CVA,CHATHAM,New Zealand,Y
788,Air Marshall Islands,\N,CW,CWM,AIR MARSHALLS,Marshall Islands,Y
789,Australian Customs Service,\N,,CWP,COASTWATCH,Australia,N
790,Air One Cityliner,\N,,CYL,CITYLINER,Italy,N
791,Air Transport,\N,,CYO,COYOTE,United States,N
792,Access Air,\N,ZA,CYD,CYCLONE,United States,Y
793,Aerocheyenne,\N,,CYE,AEROCHEYENNE,Mexico,N
794,Air Algerie,\N,AH,DAH,AIR ALGERIE,Algeria,Y
795,Aerovias DAP,\N,,DAP,DAP,Chile,N
796,Air Alpha,\N,,DBA,DOUBLE-A,United States,N
797,Air Niagara Express,\N,,DBD,AIR NIAGARA,Canada,N
798,Aviation Defense Service,\N,,DEF,TIRPA,France,N
799,Air Service Groningen,\N,,DEG,DEGGER,Netherlands,N
800,Adam Air,\N,KI,DHI,ADAM SKY,Indonesia,Y
801,Astar Air Cargo,\N,ER,DHL,DAHL,United States,N
802,Archer Aviation,\N,,DHM,ARCHER,United Kingdom,N
803,Aeromedica,\N,,DIC,AEROMEDICA,Mexico,N
804,Aerodin,\N,,DIN,AERODIN,Mexico,N
805,Antinea Airlines,\N,HO,DJA,ANTINEA,Algeria,N
806,Air Djibouti,\N,,DJU,AIR DJIB,Djibouti,N
807,Air Dolomiti,\N,EN,DLA,DOLOMOTI,Italy,Y
808,Aero Modelo,\N,,DLS,AEROMODELO,Mexico,N
809,Aerolineas Del Sur,\N,,DLU,DEL SUR,Chile,N
810,Aerodinamica de Monterrey,\N,,DMC,DINAMICAMONT,Mexico,N
811,Aeroservicios Dinamicos,\N,,DMI,AERODINAMICO,Mexico,N
